
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 99 | valid ndcg@100: 0.4696 | best valid: 0.4696 | train ndcg@100: 0.7528
epoch 100 | valid ndcg@100: 0.4700 | best valid: 0.4700 | train ndcg@100: 0.7528
epoch 101 | valid ndcg@100: 0.4691 | best valid: 0.4700 | train ndcg@100: 0.7528
epoch 102 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7532
epoch 103 | valid ndcg@100: 0.4691 | best valid: 0.4700 | train ndcg@100: 0.7534
epoch 104 | valid ndcg@100: 0.4692 | best valid: 0.4700 | train ndcg@100: 0.7534
epoch 105 | valid ndcg@100: 0.4693 | best valid: 0.4700 | train ndcg@100: 0.7535
epoch 106 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7537
epoch 107 | valid ndcg@100: 0.4690 | best valid: 0.4700 | train ndcg@100: 0.7536
epoch 108 | valid ndcg@100: 0.4692 | best valid: 0.4700 | train ndcg@100: 0.7539
epoch 109 | valid ndcg@100: 0.4693 | best valid: 0.4700 | train ndcg@100: 0.7538
epoch 110 | valid ndcg@100: 0.4690 | best valid: 0.4700 | train ndcg@100: 0.7539
epoch 111 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7539
epoch 112 | valid ndcg@100: 0.4694 | best valid: 0.4700 | train ndcg@100: 0.7534
epoch 113 | valid ndcg@100: 0.4690 | best valid: 0.4700 | train ndcg@100: 0.7535
epoch 114 | valid ndcg@100: 0.4685 | best valid: 0.4700 | train ndcg@100: 0.7536
epoch 115 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7534
epoch 116 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7540
epoch 117 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7538
epoch 118 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7543
epoch 119 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7539
epoch 120 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7542
epoch 121 | valid ndcg@100: 0.4686 | best valid: 0.4700 | train ndcg@100: 0.7541
epoch 122 | valid ndcg@100: 0.4680 | best valid: 0.4700 | train ndcg@100: 0.7534
epoch 123 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7537
epoch 124 | valid ndcg@100: 0.4687 | best valid: 0.4700 | train ndcg@100: 0.7537
epoch 125 | valid ndcg@100: 0.4685 | best valid: 0.4700 | train ndcg@100: 0.7536
epoch 126 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7537
epoch 127 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7538
epoch 128 | valid ndcg@100: 0.4691 | best valid: 0.4700 | train ndcg@100: 0.7537
epoch 129 | valid ndcg@100: 0.4688 | best valid: 0.4700 | train ndcg@100: 0.7541
epoch 130 | valid ndcg@100: 0.4680 | best valid: 0.4700 | train ndcg@100: 0.7548
epoch 131 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7544
epoch 132 | valid ndcg@100: 0.4686 | best valid: 0.4700 | train ndcg@100: 0.7548
epoch 133 | valid ndcg@100: 0.4684 | best valid: 0.4700 | train ndcg@100: 0.7541
epoch 134 | valid ndcg@100: 0.4682 | best valid: 0.4700 | train ndcg@100: 0.7552
