
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp1
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 175 | valid ndcg@100: 0.4491 | best valid: 0.4549 | train ndcg@100: 0.6884
epoch 176 | valid ndcg@100: 0.4483 | best valid: 0.4549 | train ndcg@100: 0.6882
epoch 177 | valid ndcg@100: 0.4470 | best valid: 0.4549 | train ndcg@100: 0.6882
epoch 178 | valid ndcg@100: 0.4474 | best valid: 0.4549 | train ndcg@100: 0.6880
epoch 179 | valid ndcg@100: 0.4480 | best valid: 0.4549 | train ndcg@100: 0.6879
epoch 180 | valid ndcg@100: 0.4476 | best valid: 0.4549 | train ndcg@100: 0.6878
epoch 181 | valid ndcg@100: 0.4482 | best valid: 0.4549 | train ndcg@100: 0.6874
epoch 182 | valid ndcg@100: 0.4473 | best valid: 0.4549 | train ndcg@100: 0.6871
epoch 183 | valid ndcg@100: 0.4482 | best valid: 0.4549 | train ndcg@100: 0.6873
epoch 184 | valid ndcg@100: 0.4462 | best valid: 0.4549 | train ndcg@100: 0.6869
epoch 185 | valid ndcg@100: 0.4469 | best valid: 0.4549 | train ndcg@100: 0.6867
epoch 186 | valid ndcg@100: 0.4470 | best valid: 0.4549 | train ndcg@100: 0.6868
epoch 187 | valid ndcg@100: 0.4469 | best valid: 0.4549 | train ndcg@100: 0.6865
epoch 188 | valid ndcg@100: 0.4472 | best valid: 0.4549 | train ndcg@100: 0.6863
epoch 189 | valid ndcg@100: 0.4471 | best valid: 0.4549 | train ndcg@100: 0.6867
epoch 190 | valid ndcg@100: 0.4465 | best valid: 0.4549 | train ndcg@100: 0.6861
epoch 191 | valid ndcg@100: 0.4476 | best valid: 0.4549 | train ndcg@100: 0.6860
epoch 192 | valid ndcg@100: 0.4471 | best valid: 0.4549 | train ndcg@100: 0.6857
epoch 193 | valid ndcg@100: 0.4466 | best valid: 0.4549 | train ndcg@100: 0.6860
epoch 194 | valid ndcg@100: 0.4465 | best valid: 0.4549 | train ndcg@100: 0.6855
epoch 195 | valid ndcg@100: 0.4464 | best valid: 0.4549 | train ndcg@100: 0.6854
epoch 196 | valid ndcg@100: 0.4460 | best valid: 0.4549 | train ndcg@100: 0.6853
epoch 197 | valid ndcg@100: 0.4463 | best valid: 0.4549 | train ndcg@100: 0.6850
epoch 198 | valid ndcg@100: 0.4452 | best valid: 0.4549 | train ndcg@100: 0.6852
epoch 199 | valid ndcg@100: 0.4457 | best valid: 0.4549 | train ndcg@100: 0.6851
ndcg@100:	0.4567
recall@20:	0.3606
recall@50:	0.4224
# of items: 6807
# of users: 31360
